Volcano,Lat,Lon,LastEruption,Closest,Dist_km,Tier,2nd,Dist2_km,3rd,Dist3_km
Rapa Nui,-27.114,-109.356,Unknown,I13CL,1.8,A (<1500 km),I14CL,3007.9,I01AR,3844.0
Puyehue-Cordon Caulle,-40.59,-72.117,2012 CE,I01AR,128.6,A (<1500 km),I14CL,972.3,I02AR,1595.9
Carran-Los Venados,-40.35,-72.07,1979 CE,I01AR,130.2,A (<1500 km),I14CL,954.4,I02AR,1621.3
Antillanca Volcanic Complex,-40.783,-72.15,230 BCE,I01AR,130.9,A (<1500 km),I14CL,987.2,I02AR,1575.4
Puntiagudo-Cordon Cenizos,-40.969,-72.264,1850 CE,I01AR,143.2,A (<1500 km),I14CL,997.5,I02AR,1557.1
Mocho-Choshuenco,-39.927,-72.027,1937 CE,I01AR,148.4,A (<1500 km),I14CL,921.9,I02AR,1666.8
Cayutue-La Vigueria,-41.3,-72.27,190 BCE,I01AR,155.2,A (<1500 km),I14CL,1026.7,I02AR,1521.2
Quetrupillan,-39.496,-71.722,255 CE,I01AR,164.4,A (<1500 km),I14CL,906.1,I02AR,1709.4
Osorno,-41.105,-72.496,1869 CE,I01AR,165.6,A (<1500 km),I14CL,998.1,I02AR,1546.5
Villarrica,-39.42,-71.93,2022 CE,I01AR,181.8,A (<1500 km),I14CL,887.3,I02AR,1720.8
Calbuco,-41.33,-72.618,2015 CE,I01AR,183.2,A (<1500 km),I14CL,1012.6,I02AR,1524.3
Caburgua-Huelemolle,-39.25,-71.75,5050 BCE,I01AR,188.7,A (<1500 km),I14CL,885.6,I02AR,1736.8
Yate,-41.755,-72.396,1090 CE,I01AR,190.6,A (<1500 km),I14CL,1062.1,I02AR,1474.1
Fueguino,-54.97,-70.262,1820 CE,I02AR,194.2,A (<1500 km),I01AR,1586.9,I14CL,2461.8
Hornopiren,-41.874,-72.431,340 CE,I01AR,201.1,A (<1500 km),I14CL,1071.5,I02AR,1461.9
Sollipulli,-38.97,-71.52,1240 CE,I01AR,207.8,A (<1500 km),I14CL,880.0,I02AR,1764.3
Apagado,-41.88,-72.58,590 BCE,I01AR,211.1,A (<1500 km),I14CL,1065.3,I02AR,1464.1
Taapaca,-18.1,-69.5,320 BCE,I08BO,236.9,A (<1500 km),I41PY,1552.1,I14CL,1961.1
Llaima,-38.692,-71.729,2009 CE,I01AR,243.3,A (<1500 km),I14CL,846.4,I02AR,1797.7
Huequi,-42.377,-72.578,1920 CE,I01AR,248.7,A (<1500 km),I14CL,1112.2,I02AR,1410.4
Guallatiri,-18.42,-69.092,1960 CE,I08BO,253.9,A (<1500 km),I41PY,1496.3,I14CL,1949.0
Lonquimay,-38.379,-71.586,1990 CE,I01AR,271.6,A (<1500 km),I14CL,834.7,I02AR,1830.1
"Marinaqui, Laguna",-38.255,-71.167,Unknown,I01AR,276.2,A (<1500 km),I14CL,856.4,I02AR,1838.5
Michinmahuida,-42.799,-72.445,1835 CE,I01AR,279.1,A (<1500 km),I14CL,1158.1,I02AR,1362.2
Tolhuaca,-38.31,-71.645,4000 BCE,I01AR,280.5,A (<1500 km),I14CL,826.0,I02AR,1838.5
Chaiten,-42.833,-72.646,2011 CE,I01AR,291.6,A (<1500 km),I14CL,1153.1,I02AR,1362.6
Callaqui,-37.92,-71.45,1980 CE,I01AR,317.6,A (<1500 km),I14CL,815.0,I41PY,1848.0
Isluga,-19.15,-68.83,1913 CE,I08BO,328.3,A (<1500 km),I41PY,1425.2,I14CL,1891.0
Corcovado,-43.189,-72.794,4920 BCE,I01AR,330.9,A (<1500 km),I14CL,1181.9,I02AR,1327.6
Yanteles,-43.469,-72.782,6650 BCE,I01AR,356.7,A (<1500 km),I14CL,1209.9,I02AR,1297.3
Antuco,-37.406,-71.349,1869 CE,I01AR,371.9,A (<1500 km),I14CL,792.7,I41PY,1804.8
Melimoyu,-44.08,-72.88,200 CE,I01AR,419.9,A (<1500 km),I02AR,1234.4,I14CL,1267.1
Puyuhuapi,-44.3,-72.53,Unknown,I01AR,430.4,A (<1500 km),I02AR,1202.9,I14CL,1301.4
"Chillan, Nevados de",-36.868,-71.378,2022 CE,I01AR,431.4,A (<1500 km),I14CL,762.7,I41PY,1769.8
"Resago, Volcan",-36.45,-70.92,Unknown,I01AR,473.4,A (<1500 km),I14CL,781.6,I41PY,1709.2
"Burney, Monte",-52.33,-73.4,1910 CE,I02AR,474.3,A (<1500 km),I01AR,1310.6,I14CL,2121.6
Mentolat,-44.7,-73.08,1710 CE,I01AR,488.7,A (<1500 km),I02AR,1173.6,I14CL,1323.1
"Blancas, Lomas",-36.286,-71.009,Unknown,I01AR,492.1,A (<1500 km),I14CL,767.7,I41PY,1704.6
"Longavi, Nevado de",-36.193,-71.161,4890 BCE,I01AR,503.5,A (<1500 km),I14CL,751.4,I41PY,1709.4
"Maule, Laguna del",-36.058,-70.492,50 BCE,I01AR,516.3,A (<1500 km),I14CL,803.6,I41PY,1652.2
Cay,-45.059,-72.984,Unknown,I01AR,522.1,A (<1500 km),I02AR,1133.3,I14CL,1362.7
San Pedro-Pellado,-35.989,-70.849,Unknown,I01AR,524.3,A (<1500 km),I14CL,770.7,I41PY,1673.4
Maca,-45.1,-73.17,1560 CE,I01AR,532.1,A (<1500 km),I02AR,1133.8,I14CL,1361.2
Meullin,-45.22,-73.05,Unknown,I01AR,540.6,A (<1500 km),I02AR,1118.1,I14CL,1377.1
"Azul, Cerro",-35.653,-70.761,1967 CE,I01AR,561.4,A (<1500 km),I14CL,768.1,I41PY,1645.2
Descabezado Grande,-35.58,-70.75,1933 CE,I01AR,569.5,A (<1500 km),I14CL,767.0,I41PY,1639.7
Calabozos,-35.558,-70.496,Unknown,I01AR,571.8,A (<1500 km),I14CL,788.8,I41PY,1619.5
Reclus,-50.964,-73.585,1908 CE,I02AR,582.6,A (<1500 km),I01AR,1164.2,I14CL,1971.2
Planchon-Peteroa,-35.223,-70.568,2019 CE,I01AR,609.0,A (<1500 km),I14CL,774.7,I41PY,1603.5
"Hudson, Cerro",-45.9,-72.97,2011 CE,I01AR,609.1,A (<1500 km),I02AR,1044.9,I14CL,1449.4
Aguilera,-50.33,-73.75,1250 BCE,I02AR,642.7,A (<1500 km),I01AR,1098.3,I14CL,1900.0
Tinguiririca,-34.814,-70.352,1917 CE,I01AR,654.9,A (<1500 km),I14CL,787.1,I41PY,1561.8
Palomo,-34.608,-70.295,Unknown,I01AR,677.9,A (<1500 km),I14CL,789.8,I41PY,1544.9
Putana,-22.557,-67.853,1810 CE,I08BO,707.4,A (<1500 km),I41PY,1146.6,I14CL,1633.1
Lautaro,-49.019,-73.504,1979 CE,I02AR,750.2,A (<1500 km),I01AR,952.7,I14CL,1764.1
Purico Complex,-23.0,-67.75,Unknown,I08BO,757.5,A (<1500 km),I41PY,1117.9,I14CL,1601.6
Colachi,-23.236,-67.645,Unknown,I08BO,784.7,A (<1500 km),I41PY,1098.5,I14CL,1588.5
Acamarachi,-23.292,-67.618,Unknown,I08BO,791.2,A (<1500 km),I41PY,1093.7,I14CL,1585.6
Lascar,-23.37,-67.73,2017 CE,I08BO,798.6,A (<1500 km),I41PY,1101.6,I14CL,1571.6
Chiliques,-23.58,-67.7,Unknown,I08BO,822.1,A (<1500 km),I41PY,1091.0,I14CL,1556.0
Cordon de Puntas Negras,-23.743,-67.534,Unknown,I08BO,842.0,A (<1500 km),I41PY,1069.3,I14CL,1553.8
"Tujle, Cerro",-23.83,-67.95,Unknown,I08BO,847.8,A (<1500 km),I41PY,1106.9,I14CL,1518.3
Miniques,-23.82,-67.77,Unknown,I08BO,848.1,A (<1500 km),I41PY,1089.7,I14CL,1531.4
Tilocalar,-23.97,-68.13,Unknown,I08BO,862.4,A (<1500 km),I41PY,1120.0,I14CL,1494.6
Caichinque,-23.949,-67.74,Unknown,I08BO,862.6,A (<1500 km),I41PY,1082.6,I14CL,1522.8
Pular,-24.188,-68.054,Unknown,I08BO,887.0,A (<1500 km),I41PY,1106.2,I14CL,1481.7
"Negrillar, La",-24.319,-68.59,Unknown,I08BO,900.7,A (<1500 km),I41PY,1155.3,I14CL,1434.6
